,household_key,coef,ascending
326,1331,[0.00000000e+00 7.98800209e-03 8.01586002e-06],1
327,1713,[ 0.00000000e+00  7.49403789e-02 -2.70201395e-05],1
328,1751,[ 0.00000000e+00  4.62518008e-02 -4.19264727e-05],1
329,2477,[ 0.         -0.09198754  0.00026554],1
330,706,[ 0.          0.12852105 -0.00013448],1
331,1441,[ 0.         -0.21029183  0.00042317],1
332,1437,[ 0.         -0.11009846  0.00025987],1
333,1851,[ 0.          0.21526349 -0.00028683],1
334,719,[ 0.         -0.14383474  0.00020423],1
335,803,[ 0.00000000e+00 -2.43697094e-02  1.19669528e-05],1
336,617,[ 0.         -0.10132459  0.00015623],1
337,895,[ 0.         -0.06822243  0.00012854],1
338,2208,[ 0.          0.19824133 -0.00029078],1
339,1256,[ 0.00000000e+00 -3.35746850e-02  5.91077722e-05],1
340,1080,[ 0.         -0.18545805  0.00019916],1
341,628,[ 0.00000000e+00  3.43664991e-01 -2.96410973e-04],1
342,1317,[ 0.00000000e+00 -4.06867795e-02  2.17053279e-05],1
343,1758,[ 0.          0.11466011 -0.00013359],1
344,1899,[ 0.          0.24479871 -0.00043731],1
345,816,[ 0.00000000e+00 -1.12629962e-03  5.27809765e-06],1
346,1082,[ 0.00000000e+00  2.43500620e-02 -1.56913136e-05],1
347,1544,[ 0.00000000e+00  3.90878847e-02 -9.37164989e-05],1
348,1125,[ 0.          0.12125299 -0.00020789],1
349,96,[ 0.          0.06717411 -0.00010177],1
350,1056,[ 0.00000000e+00 -2.43631819e-01  1.88816723e-04],1
351,1037,[ 0.00000000e+00  6.10565830e-02 -5.05883984e-05],1
352,513,[ 0.         -0.11642844  0.00015269],1
353,368,[ 0.         -0.08328743  0.00014221],1
354,2213,[ 0.          0.03441477 -0.00021845],1
355,864,[0.00000000e+00 2.49147540e-03 3.11641921e-05],1
356,2006,[ 0.         -0.11887304  0.00019601],1
357,350,[ 0.00000000e+00 -1.54212852e-02  6.99400942e-05],1
358,673,[ 0.00000000e+00 -3.71257183e-02  9.57573396e-05],1
359,1554,[ 0.00000000e+00  6.67739726e-02 -9.69190503e-05],1
360,1793,[0.00000000e+00 1.65699778e-02 5.69944934e-05],1
361,35,[ 0.         -0.17990923  0.00021668],1
362,1865,[ 0.00000000e+00 -5.00781158e-02  4.55704101e-05],1
363,200,[ 0.00000000e+00  3.07103876e-02 -4.27510653e-05],1
364,2088,[ 0.00000000e+00  6.49937344e-02 -5.91141944e-05],1
365,953,[ 0.         -0.08202164  0.00013344],1
366,409,[0.00000000e+00 1.67057395e-02 9.46497972e-07],1
367,168,[ 0.00000000e+00  6.90493719e-02 -9.59651594e-05],1
368,1670,[ 0.00000000e+00 -3.36205001e-02  3.55770708e-05],1
369,521,[ 0.00000000e+00  3.40612669e-02 -1.24881300e-05],1
370,511,[ 0.00000000e+00  1.57518403e-02 -1.77737098e-05],1
371,2345,[ 0.         -0.09761494  0.0001344 ],1
372,1715,[ 0.00000000e+00  3.77673921e-02 -4.80405304e-05],1
373,1910,[ 0.         -0.07884972  0.00011218],1
374,913,[ 0.         -0.11661771  0.0001795 ],1
375,2194,[ 0.00000000e+00  4.53151114e-02 -7.01686886e-05],1
376,2168,[ 0.00000000e+00 -5.94983334e-03  2.81124742e-06],1
377,690,[ 0.00000000e+00  7.33349436e-02 -9.42469650e-05],1
378,15,[ 0.00000000e+00  4.26731506e-02 -9.62265129e-05],1
379,1469,[ 0.         -0.10641107  0.00022802],1
380,1746,[ 0.         -0.24775695  0.00028772],1
381,946,[ 0.00000000e+00  2.94166192e-02 -6.04979056e-05],1
382,2306,[0.00000000e+00 7.30643353e-03 1.93185377e-05],1
383,2112,[0.00000000e+00 2.10276790e-02 1.70146995e-05],1
384,191,[ 0.         0.1021993 -0.0001394],1
385,2340,[ 0.00000000e+00 -1.00683308e-02  5.98212862e-05],1
386,7,[ 0.          0.15280548 -0.0001677 ],1
387,904,[ 0.00000000e+00 -3.79712167e-02  7.96168700e-05],1
388,456,[ 0.         -0.19466023  0.00025105],1
389,2469,[ 0.00000000e+00 -5.45026607e-02  6.66177256e-05],1
390,1260,[ 0.         -0.2013959   0.00021044],1
391,544,[ 0.          0.0677353  -0.00010458],1
392,1683,[ 0.         -0.04426656  0.00010655],1
393,1722,[ 0.00000000e+00 -8.92957956e-02  7.64870328e-05],1
394,319,[ 0.          0.1126725  -0.00017427],1
395,826,[ 0.00000000e+00 -7.52871083e-04  3.25655328e-06],1
396,17,[ 0.         -0.07096596  0.000108  ],1
397,979,[ 0.          0.14565779 -0.00015667],1
398,1591,[ 0.00000000e+00 -6.01178373e-02  6.07187475e-05],1
399,710,[ 0.00000000e+00  4.32583536e-02 -5.69329782e-05],1
400,1738,[ 0.          0.08012855 -0.00012249],1
401,1479,[0.00000000e+00 1.18192726e-02 7.27783514e-06],1
402,1512,[ 0.          0.08228524 -0.00010035],1
403,1542,[ 0.00000000e+00 -2.71013905e-02  5.81156995e-05],1
404,1946,[ 0.          0.29071075 -0.00037353],1
405,1465,[ 0.00000000e+00 -1.51211598e-02  4.07548905e-05],1
406,162,[ 0.00000000e+00 -3.57593637e-02  9.65413022e-05],1
407,1974,[ 0.00000000e+00  4.29146498e-02 -8.42121193e-05],1
408,1367,[ 0.          0.08390722 -0.00015802],1
409,1599,[ 0.00000000e+00  1.86421671e-01 -1.76726342e-04],1
410,734,[ 0.00000000e+00  4.78406788e-02 -6.26900780e-05],1
411,130,[ 0.         -0.40551219  0.00071542],1
412,843,[ 0.         -0.02600594  0.00010475],1
413,902,[ 0.00000000e+00  2.94030597e-02 -6.78278278e-06],1
414,2027,[ 0.00000000e+00  2.27405213e-02 -1.80506918e-05],1
415,1355,[ 0.         -0.06175227  0.00015411],1
416,178,[ 0.         -0.08523431  0.00010328],1
417,669,[ 0.00000000e+00 -6.44483595e-03 -8.52747610e-05],1
418,1642,[ 0.         -0.08657899  0.00011241],1
419,874,[ 0.         -0.29470514  0.00031618],1
420,2099,[ 0.00000000e+00  3.06549113e-02 -6.00683067e-05],1
421,131,[0.00000000e+00 1.37339867e-03 1.85915622e-05],1
422,1971,[ 0.00000000e+00 -1.00419472e-01  2.91625243e-05],1
423,1771,[ 0.         -0.06955971  0.00019672],1
424,22,[ 0.00000000e+00 -4.87972869e-03 -8.79009300e-06],1
425,1873,[ 0.00000000e+00  4.08015638e-02 -2.11931051e-05],1
426,2390,[ 0.         -0.117842    0.00016042],1
427,1297,[ 0.00000000e+00 -2.28683173e-02  7.12379662e-05],1
428,420,[ 0.          0.10170375 -0.00012447],1
